stockcode,total_quantity_sold,average_demand,demand_variance,total_product_revenue,unique_customers,daily_avg_demand,daily_demand_std,safety_stock,lead_time_demand,reorder_point,reorder_quantity
15034,9818,56.7514450867052,19464.39716359726,1156.12,123,26.898630136986302,139.5148635938023,610.0,189.0,799.0,807.0
15036,40994,64.55748031496063,24032.64140689038,28766.32,303,112.31232876712329,155.02464773993322,677.0,787.0,1464.0,3370.0
15039,4146,22.78021978021978,2586.570214316071,2848.9,127,11.35890410958904,50.85833475759967,223.0,80.0,303.0,341.0
15044A,4894,25.22680412371134,63187.10891512207,12803.78,116,13.408219178082192,251.37046150079382,1098.0,94.0,1192.0,403.0
15044B,1624,10.972972972972974,1850.216951645522,4376.400000000001,97,4.449315068493151,43.01414827292901,188.0,32.0,220.0,134.0
15044C,862,5.354037267080745,76.48012422360247,2428.5,100,2.361643835616438,8.74529154594645,39.0,17.0,56.0,71.0
15044D,1544,8.126315789473685,207.78290169869103,4252.84,105,4.23013698630137,14.414676607495952,63.0,30.0,93.0,127.0
15056BL,9351,11.703379224030035,1903.6224321755603,45885.07,321,25.61917808219178,43.630521795820414,191.0,180.0,371.0,769.0
15056N,10948,12.64203233256351,1637.3167977145572,54332.61,347,29.994520547945207,40.463771422280416,177.0,210.0,387.0,900.0
15056P,2436,7.565217391304348,1213.710686712718,11872.81,186,6.673972602739726,34.8383508035716,153.0,47.0,200.0,201.0
15058A,419,3.9158878504672896,13.719273496737792,2499.05,76,1.1479452054794521,3.703953765469784,17.0,9.0,26.0,35.0
15058B,301,3.3076923076923075,14.793162393162394,1920.95,65,0.8246575342465754,3.8461880340360888,17.0,6.0,23.0,25.0
15058C,413,5.816901408450704,47.15171026156941,1963.35,56,1.1315068493150684,6.866710293988629,30.0,8.0,38.0,34.0
15059A,505,505.0,0.0,1515.0,1,1.3835616438356164,0.0,0.0,10.0,10.0,42.0
15060B,1137,4.149635036496351,29.680824042137903,4138.17,174,3.115068493150685,5.448011017072002,24.0,22.0,46.0,94.0
16008,3141,36.95294117647059,3506.140616246499,422.96,64,8.605479452054794,59.21267276729281,259.0,61.0,320.0,259.0
16010,32,8.0,24.0,3.84,4,0.08767123287671233,4.898979485566356,22.0,1.0,23.0,3.0
16011,3812,34.035714285714285,998.6473616473615,799.3199999999999,83,10.443835616438356,31.601382274314545,138.0,74.0,212.0,314.0
16012,2877,34.66265060240964,947.8360270349692,602.97,67,7.882191780821918,30.78694572436456,135.0,56.0,191.0,237.0
16014,29354,319.0652173913044,475745.4682274245,9512.68,46,80.42191780821918,689.7430450736161,3012.0,563.0,3575.0,2413.0
16015,1572,24.184615384615384,1583.434134615385,711.38,40,4.306849315068493,39.79238789788048,174.0,31.0,205.0,130.0
16016,2307,21.97142857142857,1327.2780219780216,1864.75,57,6.32054794520548,36.43182704693825,160.0,45.0,205.0,190.0
16020C,82,3.28,12.04333333333333,69.69999999999999,22,0.22465753424657534,3.470350606687072,16.0,2.0,18.0,7.0
16033,15001,306.1428571428572,210024.0,1530.12,43,41.0986301369863,458.28375489427947,2001.0,288.0,2289.0,1233.0
16043,2142,178.5,133617.36363636365,179.04000000000002,11,5.868493150684931,365.53708927599075,1596.0,42.0,1638.0,177.0
16044,6192,3096.0,18580608.0,388.8,2,16.964383561643835,4310.522938113194,18818.0,119.0,18937.0,509.0
16045,9300,127.3972602739726,13127.85388127854,428.0,65,25.47945205479452,114.57684705593246,501.0,179.0,680.0,765.0
16046,9949,207.27083333333331,860783.8612588653,1043.53,44,27.257534246575343,927.7843829569806,4051.0,191.0,4242.0,818.0
16047,10587,460.3043478260869,2221914.85770751,1015.59,21,29.005479452054793,1490.6088882424892,6508.0,204.0,6712.0,871.0
16048,3413,48.75714285714286,11405.490890269157,498.66,59,9.35068493150685,106.79649287438777,467.0,66.0,533.0,281.0
16049,3144,125.76,22609.44,542.88,22,8.613698630136986,150.3643574787589,657.0,61.0,718.0,259.0
16050,122,30.5,573.6666666666669,30.5,4,0.33424657534246577,23.9513395589196,105.0,3.0,108.0,11.0
16051,938,312.6666666666667,229633.3333333333,82.2,3,2.56986301369863,479.2007234273894,2092.0,18.0,2110.0,78.0
16052,810,38.57142857142857,4304.157142857142,249.35,18,2.219178082191781,65.6060755026327,287.0,16.0,303.0,67.0
16053,4298,537.25,815100.5,182.58,8,11.775342465753425,902.8291643494908,3942.0,83.0,4025.0,354.0
16054,1205,32.567567567567565,530.9744744744744,156.9,32,3.3013698630136985,23.0428833802212,101.0,24.0,125.0,100.0
16119,271,38.71428571428572,3357.571428571428,128.21,7,0.7424657534246575,57.944554779301114,253.0,6.0,259.0,23.0
16151A,52,10.4,333.3,72.5,5,0.14246575342465753,18.256505689753446,80.0,1.0,81.0,5.0
16156L,950,26.38888888888889,33.73015873015874,399.0,33,2.6027397260273974,5.807767103643081,26.0,19.0,45.0,79.0
16156N,1450,26.363636363636363,32.82828282828282,609.0,51,3.9726027397260273,5.7295970912694045,26.0,28.0,54.0,120.0
16156S,16586,39.77458033573141,4004.126948441248,6527.12,271,45.441095890410956,63.278171184392235,277.0,319.0,596.0,1364.0
16161C,450,225.0,31250.0,45.0,2,1.2328767123287672,176.7766952966369,772.0,9.0,781.0,37.0
16161E,750,83.33333333333333,24531.25,75.0,8,2.0547945205479454,156.62455107677084,684.0,15.0,699.0,62.0
16161G,975,29.545454545454547,213.0681818181818,97.5,31,2.671232876712329,14.596855203028555,64.0,19.0,83.0,81.0
16161M,1050,26.923076923076923,45.54655870445343,439.0,36,2.8767123287671232,6.748819059987713,30.0,21.0,51.0,87.0
16161P,13198,29.995454545454542,898.3598881756063,5435.4,289,36.15890410958904,29.972652338016506,131.0,254.0,385.0,1085.0
16161U,10001,31.548895899053623,1628.1028231441928,4074.42,203,27.4,40.34975617205379,177.0,192.0,369.0,822.0
16162L,8083,475.4705882352941,1518871.6397058826,553.79,16,22.145205479452056,1232.425105110198,5381.0,156.0,5537.0,665.0
16162M,86,7.166666666666667,19.42424242424243,36.12,10,0.2356164383561644,4.407294229370491,20.0,2.0,22.0,8.0
16168M,1578,29.77358490566038,2570.3708272859226,425.16,42,4.323287671232877,50.698824713063345,222.0,31.0,253.0,130.0
16168S,1274,182.0,31396.0,121.86,4,3.4904109589041097,177.1891644542634,774.0,25.0,799.0,105.0
16169A,25,25.0,0.0,10.5,1,0.0684931506849315,0.0,0.0,1.0,1.0,3.0
16169C,1350,31.3953488372093,330.1495016611296,567.0,42,3.6986301369863015,18.170016556435208,80.0,26.0,106.0,111.0
16169D,250,27.77777777777778,69.44444444444444,105.0,9,0.684931506849315,8.333333333333334,37.0,5.0,42.0,21.0
16169E,4563,30.42,562.6747651006709,1892.46,143,12.501369863013698,23.720766536953878,104.0,88.0,192.0,376.0
16169F,975,28.676470588235293,80.77094474153296,409.5,34,2.671232876712329,8.987265698839273,40.0,19.0,59.0,81.0
16169G,25,25.0,0.0,10.5,1,0.0684931506849315,0.0,0.0,1.0,1.0,3.0
16169K,2050,34.74576271186441,3836.572180011689,648.25,56,5.616438356164384,61.94006926063038,271.0,40.0,311.0,169.0
16169M,2060,34.333333333333336,3781.7514124293793,640.95,56,5.6438356164383565,61.49594630891844,269.0,40.0,309.0,170.0
16169N,2025,36.160714285714285,4043.6282467532474,626.25,52,5.5479452054794525,63.58952937986919,278.0,39.0,317.0,167.0
16169P,1750,36.458333333333336,4706.338652482271,533.75,46,4.794520547945205,68.60275980222859,300.0,34.0,334.0,144.0
16201A,100,12.5,110.85714285714286,199.8,7,0.273972602739726,10.528871870107588,46.0,2.0,48.0,9.0
16201B,24,12.0,0.0,46.8,2,0.06575342465753424,0.0,0.0,1.0,1.0,2.0
16202A,660,34.73684210526316,8753.315789473683,266.45,16,1.8082191780821917,93.55915663083803,409.0,13.0,422.0,55.0
16202B,1034,57.44444444444444,19857.084967320265,469.21,13,2.8328767123287673,140.91516940102747,616.0,20.0,636.0,85.0
16202C,94,9.4,70.26666666666668,201.3,10,0.25753424657534246,8.382521498133285,37.0,2.0,39.0,8.0
16202E,81,6.230769230769231,28.025641025641026,150.6,12,0.2219178082191781,5.293924916887377,24.0,2.0,26.0,7.0
16206B,96,6.0,39.33333333333334,116.4,14,0.26301369863013696,6.271629240742261,28.0,2.0,30.0,8.0
16207A,55,2.8947368421052637,2.988304093567252,162.25000000000003,17,0.1506849315068493,1.7286711930171255,8.0,2.0,10.0,5.0
16207B,211,16.23076923076923,1076.3589743589744,315.96000000000004,12,0.5780821917808219,32.80791024065651,144.0,5.0,149.0,18.0
16212,357,10.5,166.07575757575756,232.05,29,0.9780821917808219,12.887038355485622,57.0,7.0,64.0,30.0
16215,8,2.6666666666666665,2.333333333333333,5.2,3,0.021917808219178082,1.5275252316519465,7.0,1.0,8.0,1.0
16216,4135,52.34177215189873,32483.4329763064,358.18,69,11.32876712328767,180.23160925960352,787.0,80.0,867.0,340.0
16218,4525,64.64285714285714,4456.5227743271225,375.6,60,12.397260273972602,66.75719267859549,292.0,87.0,379.0,372.0
16219,3206,48.57575757575758,8621.694172494172,371.01,58,8.783561643835617,92.85307842228049,406.0,62.0,468.0,264.0
16225,1420,12.56637168141593,1121.2656447534766,1078.64,90,3.8904109589041096,33.48530490757814,147.0,28.0,175.0,117.0
16235,5088,31.02439024390244,3009.7049229387994,1031.58,124,13.93972602739726,54.86077763702224,240.0,98.0,338.0,419.0
16236,2425,16.496598639455783,284.89553629671053,503.65,108,6.6438356164383565,16.878848784698278,74.0,47.0,121.0,200.0
16237,9730,28.20289855072464,1074.4354566902605,1959.3,209,26.65753424657534,32.7785822861554,144.0,187.0,331.0,800.0
16238,2232,16.41176470588235,233.1625272331154,469.42,104,6.115068493150685,15.269660350941518,67.0,43.0,110.0,184.0
16239,338,26.0,6233.333333333331,468.4,13,0.9260273972602739,78.95146188218006,345.0,7.0,352.0,28.0
16243B,205,205.0,0.0,399.75,1,0.5616438356164384,0.0,0.0,4.0,4.0,17.0
16244A,142,23.666666666666668,1305.4666666666667,293.0,6,0.38904109589041097,36.13124225191637,158.0,3.0,161.0,12.0
16244B,309,38.625,7345.410714285715,612.85,8,0.8465753424657534,85.70537156028037,375.0,6.0,381.0,26.0
16245A,11,1.5714285714285714,0.6190476190476191,13.75,7,0.030136986301369864,0.7867957924694432,4.0,1.0,5.0,1.0
16248B,81,6.75,177.84090909090912,101.25,12,0.2219178082191781,13.335700547436911,59.0,2.0,61.0,7.0
16254,912,45.6,37117.83157894738,258.36,17,2.4986301369863013,192.65988575452695,842.0,18.0,860.0,75.0
16256B,493,23.476190476190474,173.26190476190476,207.06,17,1.3506849315068492,13.162898797829632,58.0,10.0,68.0,41.0
16256C,169,16.9,213.2111111111111,70.98,8,0.46301369863013697,14.60175027560433,64.0,4.0,68.0,14.0
16258A,1026,13.5,555.4533333333334,347.19,58,2.8109589041095893,23.56805747899757,103.0,20.0,123.0,85.0
16258B,1014,72.42857142857143,19135.34065934066,219.34,13,2.778082191780822,138.33054853986758,604.0,20.0,624.0,84.0
16259,5473,99.50909090909092,4328.291582491582,766.09,46,14.994520547945205,65.78975286844891,288.0,105.0,393.0,450.0
17001,1211,52.65217391304348,7769.328063241105,299.35,20,3.317808219178082,88.14379197221496,385.0,24.0,409.0,100.0
17003,70082,178.32569974554707,368649.95487355214,14640.96,215,192.0054794520548,607.1655086329856,2651.0,1345.0,3996.0,5761.0
17007B,34,4.857142857142857,24.14285714285714,71.4,6,0.09315068493150686,4.913538149119954,22.0,1.0,23.0,3.0
17011A,254,42.333333333333336,2049.8666666666663,150.0,6,0.6958904109589041,45.27545324639684,198.0,5.0,203.0,21.0
17011B,19,9.5,84.5,11.1,2,0.052054794520547946,9.192388155425117,41.0,1.0,42.0,2.0
17011C,334,334.0,0.0,217.1,1,0.915068493150685,0.0,0.0,7.0,7.0,28.0
17011D,207,103.5,15664.5,129.3,2,0.5671232876712329,125.15790027001891,547.0,4.0,551.0,18.0
17011E,124,124.0,0.0,80.60000000000001,1,0.33972602739726027,0.0,0.0,3.0,3.0,11.0
17011F,380,25.33333333333333,2296.3809523809527,315.15,15,1.0410958904109588,47.920569199258814,210.0,8.0,218.0,32.0
17012A,644,18.4,1243.3647058823528,586.6,30,1.7643835616438357,35.26137697087782,154.0,13.0,167.0,53.0
17012B,617,12.854166666666666,405.57402482269504,590.8499999999999,43,1.6904109589041096,20.138868508997597,88.0,12.0,100.0,51.0
17012C,777,13.875,1389.675000000001,747.25,47,2.128767123287671,37.27834492034217,163.0,15.0,178.0,64.0
17012D,426,8.352941176470589,86.59294117647057,426.7,41,1.167123287671233,9.30553282603799,41.0,9.0,50.0,36.0
17012E,240,20.0,2975.2727272727275,236.4,12,0.6575342465753424,54.54606060269364,239.0,5.0,244.0,20.0
17012F,493,10.48936170212766,247.99444958371868,451.45,38,1.3506849315068492,15.747839521144439,69.0,10.0,79.0,41.0
17013B,255,127.5,12.5,217.6,2,0.6986301369863014,3.5355339059327378,16.0,5.0,21.0,21.0
17013C,213,106.5,220.5,89.46000000000001,2,0.5835616438356165,14.849242404917497,65.0,5.0,70.0,18.0
17013D,1048,49.90476190476191,2907.7904761904765,515.46,17,2.871232876712329,53.92393231386669,236.0,21.0,257.0,87.0
17013F,61,15.25,738.9166666666666,25.05,4,0.16712328767123288,27.183021661814323,119.0,2.0,121.0,6.0
17014A,247,27.444444444444443,1410.0277777777778,111.81,9,0.6767123287671233,37.55033658674417,164.0,5.0,169.0,21.0
17014C,96,96.0,0.0,40.32,1,0.26301369863013696,0.0,0.0,2.0,2.0,8.0
17014D,476,79.33333333333333,8743.066666666666,194.28,5,1.3041095890410959,93.50436709943908,409.0,10.0,419.0,40.0
17014E,93,23.25,1921.5833333333337,33.3,4,0.2547945205479452,43.83586811428894,192.0,2.0,194.0,8.0
17014F,61,15.25,774.9166666666665,23.7,4,0.16712328767123288,27.83732506306356,122.0,2.0,124.0,6.0
17021,3714,45.29268292682927,12465.049081601936,982.44,45,10.175342465753424,111.64698420289702,488.0,72.0,560.0,306.0
17027A,228,114.0,1800.0,84.84,1,0.6246575342465753,42.42640687119285,186.0,5.0,191.0,19.0
17028J,6,6.0,0.0,2.52,1,0.01643835616438356,0.0,0.0,1.0,1.0,1.0
17033,3279,48.22058823529412,7240.771510096577,867.55,58,8.983561643835616,85.09272301493576,372.0,63.0,435.0,270.0
17038,2524,84.13333333333334,2499.4298850574714,225.4,21,6.9150684931506845,49.9942985255066,219.0,49.0,268.0,208.0
17039,3641,121.36666666666666,53851.89540229885,813.0899999999999,20,9.975342465753425,232.06011161399292,1014.0,70.0,1084.0,300.0
17061,52,52.0,0.0,2.08,1,0.14246575342465753,0.0,0.0,1.0,1.0,5.0
17084A,442,24.55555555555556,70.02614379084969,92.82,14,1.210958904109589,8.36816250982554,37.0,9.0,46.0,37.0
17084G,50,25.0,0.0,10.5,2,0.136986301369863,0.0,0.0,1.0,1.0,5.0
17084J,454,23.894736842105264,92.21052631578948,95.34,17,1.2438356164383562,9.602631218358304,42.0,9.0,51.0,38.0
17084N,2391,35.6865671641791,991.5820895522386,485.86,42,6.550684931506849,31.489396462178163,138.0,46.0,184.0,197.0
17084P,874,33.61538461538461,1197.8461538461538,173.54,23,2.3945205479452056,34.60991409764193,152.0,17.0,169.0,72.0
17084R,10625,160.9848484848485,81452.93822843816,1968.45,29,29.10958904109589,285.39961147212193,1246.0,204.0,1450.0,874.0
17090A,173,6.653846153846154,82.7953846153846,182.65,24,0.473972602739726,9.099196921453267,40.0,4.0,44.0,15.0
17090D,88,2.933333333333333,8.133333333333331,105.2,21,0.2410958904109589,2.8518999514943246,13.0,2.0,15.0,8.0
17091A,2073,18.845454545454544,1397.5630525437855,1255.65,78,5.67945205479452,37.38399460389146,164.0,40.0,204.0,171.0
17091B,264,6.0,77.44186046511626,286.8,35,0.7232876712328767,8.800105707610351,39.0,6.0,45.0,22.0
17091F,16,2.6666666666666665,3.066666666666667,20.0,6,0.043835616438356165,1.7511900715418263,8.0,1.0,9.0,2.0
17091J,3931,23.680722891566266,1418.5822928075938,2122.19,108,10.76986301369863,37.66407164404286,165.0,76.0,241.0,324.0
17096,6157,175.9142857142857,124350.37478991596,1081.65,25,16.86849315068493,352.63348506617456,1540.0,119.0,1659.0,507.0
17107D,306,3.642857142857143,6.328743545611014,780.3,68,0.8383561643835616,2.515699414797208,11.0,6.0,17.0,26.0
17108D,355,15.434782608695652,86.43873517786561,149.1,17,0.9726027397260274,9.297243418232396,41.0,7.0,48.0,30.0
17109A,709,54.53846153846154,7359.2692307692305,333.61,12,1.9424657534246574,85.78618321600064,375.0,14.0,389.0,59.0
17109B,4541,283.8125,929557.7625,892.91,13,12.441095890410958,964.1357593720917,4209.0,88.0,4297.0,374.0
17109C,3124,208.26666666666668,415195.4952380952,661.23,13,8.558904109589042,644.3566522028738,2813.0,60.0,2873.0,257.0
17109D,1253,33.86486486486486,5978.675675675675,584.87,33,3.4328767123287673,77.32189648266315,338.0,25.0,363.0,103.0
17129C,84,8.4,499.6000000000001,56.28,7,0.23013698630136986,22.351733713517618,98.0,2.0,100.0,7.0
17129D,518,27.26315789473684,1458.2046783625728,344.54,12,1.4191780821917808,38.18644626516813,167.0,10.0,177.0,43.0
17129F,940,22.38095238095238,533.3147502903599,626.5,19,2.5753424657534247,23.093608429397946,101.0,19.0,120.0,78.0
17136A,743,21.852941176470587,338.4322638146169,61.78,28,2.0356164383561643,18.396528580539776,81.0,15.0,96.0,62.0
17164B,1584,19.55555555555556,1560.0,633.24,64,4.33972602739726,39.496835316262995,173.0,31.0,204.0,131.0
17164D,1144,38.13333333333333,5378.8091954023,444.48,26,3.1342465753424658,73.34036538907003,321.0,22.0,343.0,95.0
17165B,809,13.483333333333333,1418.999717514124,750.63,43,2.2164383561643834,37.66961265415566,165.0,16.0,181.0,67.0
17165D,716,7.698924731182796,206.5605423094904,682.32,62,1.9616438356164383,14.372214245184713,63.0,14.0,77.0,59.0
17174,36,5.142857142857143,71.47619047619047,15.12,7,0.09863013698630137,8.454359258760563,37.0,1.0,38.0,3.0
17178,133,5.32,38.56,156.65,20,0.3643835616438356,6.20966987850401,28.0,3.0,31.0,11.0
17181,294,9.8,274.3724137931035,341.7,26,0.8054794520547945,16.56419070745998,73.0,6.0,79.0,25.0
17191A,33,2.75,2.204545454545454,123.75,9,0.09041095890410959,1.4847711791873703,7.0,1.0,8.0,3.0
18007,11335,213.8679245283019,427028.5783744557,1017.18,40,31.054794520547944,653.4742369630617,2853.0,218.0,3071.0,932.0
18010,56,9.333333333333334,59.86666666666666,23.52,6,0.15342465753424658,7.737355275975549,34.0,2.0,36.0,5.0
18094C,332,7.72093023255814,28.82502768549279,376.6,22,0.9095890410958904,5.3688944565425,24.0,7.0,31.0,28.0
18096C,106,8.153846153846153,146.47435897435898,241.5,12,0.29041095890410956,12.102659169552739,53.0,3.0,56.0,9.0
18097A,17,1.4166666666666667,0.446969696969697,43.35,10,0.04657534246575343,0.6685579234215215,3.0,1.0,4.0,2.0
18097B,7,1.75,0.9166666666666666,17.849999999999998,3,0.019178082191780823,0.9574271077563381,5.0,1.0,6.0,1.0
18097C,1534,9.5875,779.401100628931,3293.7,110,4.2027397260273975,27.917756009911166,122.0,30.0,152.0,127.0
18098A,2,1.0,0.0,5.9,2,0.005479452054794521,0.0,0.0,1.0,1.0,1.0
18098B,3,1.0,0.0,8.850000000000001,3,0.00821917808219178,0.0,0.0,1.0,1.0,1.0
18098C,1123,6.103260869565218,105.37179258731292,2832.8500000000004,104,3.0767123287671234,10.265076355649427,45.0,22.0,67.0,93.0
20615,458,5.79746835443038,149.85589094449858,585.04,59,1.2547945205479452,12.241564072637882,54.0,9.0,63.0,38.0
20616,188,4.2727272727272725,64.66807610993658,236.18,31,0.5150684931506849,8.04164635568716,36.0,4.0,40.0,16.0
20617,452,6.108108108108108,536.8374676045909,863.88,59,1.2383561643835617,23.169753291836987,102.0,9.0,111.0,38.0
20618,193,2.608108108108108,9.748426508700485,400.38,50,0.5287671232876713,3.122247028775988,14.0,4.0,18.0,16.0
20619,373,5.485294117647059,179.50724319578575,566.33,46,1.021917808219178,13.398031317913306,59.0,8.0,67.0,31.0
20620,1,1.0,0.0,2.1,1,0.0027397260273972603,0.0,0.0,1.0,1.0,1.0
20621,199,6.862068965517241,337.1231527093596,417.9,23,0.5452054794520548,18.360913722071665,81.0,4.0,85.0,17.0
20622,523,6.378048780487805,506.2627220716653,914.18,59,1.4328767123287671,22.50028271092755,99.0,11.0,110.0,43.0
20652,1215,13.5,4354.859550561798,692.01,73,3.328767123287671,65.99135966595777,289.0,24.0,313.0,100.0
20653,1927,62.16129032258065,104045.27311827955,428.89,26,5.279452054794521,322.5604952846513,1409.0,37.0,1446.0,159.0
20654,339,3.988235294117647,25.03557422969187,414.63,65,0.9287671232876712,5.003556158342971,22.0,7.0,29.0,28.0
20655,264,2.8085106382978724,9.81239990848776,321.02,55,0.7232876712328767,3.1324750451500423,14.0,6.0,20.0,22.0
20657,1692,23.83098591549296,20725.99959758551,534.14,54,4.635616438356164,143.96527219293378,629.0,33.0,662.0,140.0
20658,1333,5.846491228070176,34.69439292062757,1661.69,153,3.652054794520548,5.890194641998478,26.0,26.0,52.0,110.0
20659,287,3.1538461538461537,11.687179487179488,380.81,55,0.7863013698630137,3.418651706035508,15.0,6.0,21.0,24.0
20660,71,2.6296296296296298,9.011396011396013,88.75,22,0.19452054794520549,3.0018987343673027,14.0,2.0,16.0,6.0
20661,787,18.302325581395348,3987.596899224808,662.1700000000001,37,2.1561643835616437,63.14742195232366,276.0,16.0,292.0,65.0
20662,697,27.88,6717.443333333334,394.27,23,1.9095890410958904,81.9600105742632,358.0,14.0,372.0,58.0
20663,1037,69.13333333333334,30610.266666666663,277.19,13,2.841095890410959,174.95789969780347,764.0,20.0,784.0,86.0
20664,31,1.9375,1.1291666666666669,91.45000000000002,11,0.08493150684931507,1.0626225419530055,5.0,1.0,6.0,3.0
20665,1165,5.247747747747748,12.322958705311647,3419.9500000000003,167,3.191780821917808,3.510407199359021,16.0,23.0,39.0,96.0
20666,871,39.59090909090909,13619.586580086583,340.65000000000003,22,2.3863013698630136,116.70298445235487,510.0,17.0,527.0,72.0
20667,21,2.333333333333333,1.5,61.95,6,0.057534246575342465,1.224744871391589,6.0,1.0,7.0,2.0
20668,20550,65.44585987261146,13134.222299098514,2292.04,181,56.3013698630137,114.60463471910076,501.0,395.0,896.0,1690.0
20669,627,4.543478260869565,28.147730879086005,781.47,103,1.7178082191780821,5.305443513890804,24.0,13.0,37.0,52.0
20670,664,30.181818181818183,7641.203463203464,296.48,20,1.819178082191781,87.41397750476445,382.0,13.0,395.0,55.0
20671,731,6.89622641509434,69.90341419586703,900.07,70,2.0027397260273974,8.360826167064294,37.0,15.0,52.0,61.0
20672,116,5.2727272727272725,15.541125541125544,145.0,21,0.3178082191780822,3.942223426078936,18.0,3.0,21.0,10.0
20673,5,2.5,4.5,6.25,2,0.0136986301369863,2.1213203435596424,10.0,1.0,11.0,1.0
20674,3096,8.52892561983471,131.55371900826452,3748.09,196,8.482191780821918,11.469686962086826,51.0,60.0,111.0,255.0
20675,5816,10.830540037243948,298.43951332721866,6847.13,281,15.934246575342465,17.275401972956193,76.0,112.0,188.0,479.0
20676,9403,13.005532503457816,373.3600801523352,10973.06,372,25.76164383561644,19.322527788887644,85.0,181.0,266.0,773.0
20677,6888,12.500907441016334,406.9086355386903,8030.23,268,18.87123287671233,20.171976490633988,89.0,133.0,222.0,567.0
20678,4,4.0,0.0,6.6,1,0.010958904109589041,0.0,0.0,1.0,1.0,1.0
20679,6029,9.67736757624398,1961.4504033485996,28557.92,271,16.517808219178082,44.28826484915162,194.0,116.0,310.0,496.0
20680,6,1.2,0.2,19.5,4,0.01643835616438356,0.4472135954999579,2.0,1.0,3.0,1.0
20681,1303,4.721014492753623,43.91097496706194,4135.75,184,3.56986301369863,6.626535668587466,29.0,25.0,54.0,108.0
20682,2892,6.012474012474012,73.3165107415107,9134.66,296,7.923287671232877,8.56250610169188,38.0,56.0,94.0,238.0
20683,1,1.0,0.0,3.25,1,0.0027397260273972603,0.0,0.0,1.0,1.0,1.0
20684,560,3.5443037974683542,27.49802467145044,1781.0,117,1.5342465753424657,5.243855897281164,23.0,11.0,34.0,47.0
20685,9364,6.3313049357674105,293.5031533027565,60546.64,626,25.654794520547945,17.131933729230816,75.0,180.0,255.0,770.0
20686,561,3.50625,11.559709119496857,1817.63,117,1.536986301369863,3.3999572231863238,15.0,11.0,26.0,47.0
20688,462,51.333333333333336,19169.75,306.9,9,1.2657534246575342,138.45486629223257,605.0,9.0,614.0,38.0
20689,400,14.814814814814817,4139.6951566951575,436.00000000000006,25,1.095890410958904,64.340462826243,281.0,8.0,289.0,33.0
20692,879,7.4491525423728815,319.0529479936259,3434.25,75,2.408219178082192,17.862053297245136,78.0,17.0,95.0,73.0
20693,26,2.1666666666666665,2.1515151515151514,110.5,10,0.07123287671232877,1.4668044012461754,7.0,1.0,8.0,3.0
20694,112,4.307692307692308,19.181538461538462,408.48,23,0.30684931506849317,4.379673328176254,20.0,3.0,23.0,10.0
20695,82,3.1538461538461537,19.49538461538462,332.0,24,0.22465753424657534,4.415357812837439,20.0,2.0,22.0,7.0
20696,123,3.6176470588235294,5.819073083778967,461.25,28,0.336986301369863,2.4122754991457684,11.0,3.0,14.0,11.0
20697,38,2.0,2.444444444444444,91.5,17,0.10410958904109589,1.563471919941143,7.0,1.0,8.0,4.0
20698,43,2.263157894736842,3.2046783625731,104.25,17,0.1178082191780822,1.7901615465016278,8.0,1.0,9.0,4.0
20699,208,4.521739130434782,7.543961352657007,519.6,42,0.5698630136986301,2.7466272686072655,12.0,4.0,16.0,18.0
20700,288,24.0,2154.5454545454545,420.0,11,0.7890410958904109,46.41708149534452,203.0,6.0,209.0,24.0
