stockcode,total_quantity_sold,average_demand,demand_variance,total_product_revenue,unique_customers
16207A,55,2.8947368421052633,2.9883040935672516,162.25000000000003,17
16207B,211,16.23076923076923,1076.3589743589744,315.96000000000004,12
16212,357,10.5,166.07575757575756,232.04999999999998,29
16215,8,2.6666666666666665,2.333333333333333,5.2,3
16216,4135,52.34177215189873,32483.432976306398,358.18,69
16218,4525,64.64285714285714,4456.5227743271225,375.6,60
16219,3206,48.57575757575758,8621.694172494172,371.01,58
16225,1420,12.56637168141593,1121.2656447534766,1078.64,90
16235,5088,31.024390243902438,3009.7049229387994,1031.58,124
16236,2425,16.496598639455783,284.89553629671053,503.65,108
16237,9730,28.202898550724637,1074.4354566902603,1959.3,209
16238,2232,16.41176470588235,233.1625272331154,469.42,104
16239,338,26.0,6233.333333333331,468.4,13
16243B,205,205.0,0.0,399.75,1
16244A,142,23.666666666666668,1305.4666666666667,293.0,6
16244B,309,38.625,7345.410714285715,612.85,8
16245A,11,1.5714285714285714,0.6190476190476191,13.75,7
16248B,81,6.75,177.84090909090912,101.25,12
16254,912,45.6,37117.83157894738,258.36,17
16256B,493,23.476190476190474,173.26190476190476,207.06,17
16256C,169,16.9,213.2111111111111,70.98,8
16258A,1026,13.5,555.4533333333334,347.19,58
16258B,1014,72.42857142857143,19135.34065934066,219.34,13
16259,5473,99.50909090909092,4328.291582491582,766.09,46
17001,1211,52.65217391304348,7769.328063241105,299.34999999999997,20
17003,70082,178.32569974554707,368649.95487355214,14640.96,215
17007B,34,4.857142857142857,24.14285714285714,71.4,6
17011A,254,42.333333333333336,2049.8666666666663,150.0,6
17011B,19,9.5,84.5,11.100000000000001,2
17011C,334,334.0,0.0,217.1,1
17011D,207,103.5,15664.5,129.3,2
17011E,124,124.0,0.0,80.60000000000001,1
17011F,380,25.333333333333332,2296.3809523809527,315.15,15
17012A,644,18.4,1243.3647058823528,586.6,30
17012B,617,12.854166666666666,405.57402482269504,590.8499999999999,43
17012C,777,13.875,1389.675000000001,747.25,47
17012D,426,8.352941176470589,86.59294117647057,426.7,41
17012E,240,20.0,2975.2727272727275,236.39999999999998,12
17012F,493,10.48936170212766,247.99444958371868,451.45,38
17013B,255,127.5,12.5,217.6,2
17013C,213,106.5,220.5,89.46000000000001,2
17013D,1048,49.904761904761905,2907.7904761904765,515.46,17
17013F,61,15.25,738.9166666666666,25.05,4
17014A,247,27.444444444444443,1410.0277777777778,111.81,9
17014C,96,96.0,0.0,40.32,1
17014D,476,79.33333333333333,8743.066666666666,194.28,5
17014E,93,23.25,1921.5833333333337,33.3,4
17014F,61,15.25,774.9166666666665,23.699999999999996,4
17021,3714,45.292682926829265,12465.049081601936,982.44,45
17027A,228,114.0,1800.0,84.84,1
17028J,6,6.0,0.0,2.52,1
17033,3279,48.220588235294116,7240.771510096577,867.55,58
17038,2524,84.13333333333334,2499.4298850574714,225.4,21
17039,3641,121.36666666666666,53851.89540229885,813.0899999999999,20
17061,52,52.0,0.0,2.08,1
17084A,442,24.555555555555557,70.02614379084969,92.82,14
17084G,50,25.0,0.0,10.5,2
17084J,454,23.894736842105264,92.21052631578947,95.34,17
17084N,2391,35.6865671641791,991.5820895522386,485.86,42
17084P,874,33.61538461538461,1197.8461538461538,173.54,23
17084R,10625,160.9848484848485,81452.93822843816,1968.45,29
17090A,173,6.653846153846154,82.7953846153846,182.65,24
17090D,88,2.933333333333333,8.133333333333331,105.2,21
17091A,2073,18.845454545454544,1397.5630525437857,1255.65,78
17091B,264,6.0,77.44186046511626,286.8,35
17091F,16,2.6666666666666665,3.066666666666667,20.0,6
17091J,3931,23.680722891566266,1418.5822928075938,2122.19,108
17096,6157,175.9142857142857,124350.37478991595,1081.65,25
17107D,306,3.642857142857143,6.328743545611014,780.3,68
17108D,355,15.434782608695652,86.43873517786561,149.1,17
17109A,709,54.53846153846154,7359.2692307692305,333.61,12
17109B,4541,283.8125,929557.7625000001,892.91,13
17109C,3124,208.26666666666668,415195.49523809523,661.23,13
17109D,1253,33.86486486486486,5978.675675675675,584.87,33
17129C,84,8.4,499.6000000000001,56.28,7
17129D,518,27.263157894736842,1458.2046783625728,344.53999999999996,12
17129F,940,22.38095238095238,533.3147502903599,626.5,19
17136A,743,21.852941176470587,338.4322638146169,61.78,28
17164B,1584,19.555555555555557,1560.0,633.24,64
17164D,1144,38.13333333333333,5378.8091954023,444.48,26
17165B,809,13.483333333333333,1418.9997175141239,750.63,43
17165D,716,7.698924731182796,206.5605423094904,682.32,62
17174,36,5.142857142857143,71.47619047619047,15.120000000000001,7
17178,133,5.32,38.56,156.65,20
17181,294,9.8,274.3724137931035,341.7,26
17191A,33,2.75,2.204545454545454,123.75,9
18007,11335,213.8679245283019,427028.57837445574,1017.18,40
18010,56,9.333333333333334,59.86666666666666,23.52,6
18094C,332,7.72093023255814,28.82502768549279,376.6,22
18096C,106,8.153846153846153,146.47435897435898,241.5,12
18097A,17,1.4166666666666667,0.446969696969697,43.349999999999994,10
18097B,7,1.75,0.9166666666666666,17.849999999999998,3
18097C,1534,9.5875,779.401100628931,3293.7,110
18098A,2,1.0,0.0,5.9,2
18098B,3,1.0,0.0,8.850000000000001,3
18098C,1123,6.103260869565218,105.37179258731291,2832.8500000000004,104
20615,458,5.7974683544303796,149.85589094449858,585.04,59
20616,188,4.2727272727272725,64.66807610993658,236.18,31
20617,452,6.108108108108108,536.8374676045909,863.88,59
20618,193,2.608108108108108,9.748426508700485,400.38,50
20619,373,5.485294117647059,179.50724319578575,566.33,46
20620,1,1.0,0.0,2.1,1
20621,199,6.862068965517241,337.1231527093596,417.90000000000003,23
20622,523,6.378048780487805,506.26272207166534,914.1800000000001,59
20652,1215,13.5,4354.859550561798,692.01,73
20653,1927,62.16129032258065,104045.27311827957,428.89,26
20654,339,3.988235294117647,25.03557422969187,414.63,65
20655,264,2.8085106382978724,9.81239990848776,321.02,55
20657,1692,23.830985915492956,20725.99959758551,534.14,54
20658,1333,5.8464912280701755,34.69439292062757,1661.69,153
20659,287,3.1538461538461537,11.687179487179487,380.81,55
20660,71,2.6296296296296298,9.011396011396013,88.75,22
20661,787,18.302325581395348,3987.5968992248077,662.1700000000001,37
20662,697,27.88,6717.443333333334,394.27000000000004,23
20663,1037,69.13333333333334,30610.266666666663,277.19,13
20664,31,1.9375,1.1291666666666667,91.45000000000002,11
20665,1165,5.247747747747748,12.322958705311647,3419.9500000000003,167
20666,871,39.59090909090909,13619.586580086583,340.65000000000003,22
20667,21,2.3333333333333335,1.5,61.95,6
20668,20550,65.44585987261146,13134.222299098514,2292.04,181
20669,627,4.543478260869565,28.147730879086005,781.47,103
20670,664,30.181818181818183,7641.203463203464,296.48,20
20671,731,6.89622641509434,69.90341419586703,900.07,70
20672,116,5.2727272727272725,15.541125541125544,145.0,21
20673,5,2.5,4.5,6.25,2
20674,3096,8.52892561983471,131.55371900826452,3748.09,196
20675,5816,10.830540037243948,298.43951332721866,6847.13,281
20676,9403,13.005532503457815,373.3600801523352,10973.06,372
20677,6888,12.500907441016334,406.9086355386903,8030.2300000000005,268
20678,4,4.0,0.0,6.6,1
20679,6029,9.67736757624398,1961.4504033485994,28557.920000000002,271
20680,6,1.2,0.2,19.5,4
20681,1303,4.721014492753623,43.91097496706194,4135.75,184
20682,2892,6.012474012474012,73.3165107415107,9134.66,296
20683,1,1.0,0.0,3.25,1
20684,560,3.5443037974683542,27.49802467145044,1781.0,117
20685,9364,6.3313049357674105,293.5031533027565,60546.64,626
20686,561,3.50625,11.559709119496857,1817.63,117
20688,462,51.333333333333336,19169.75,306.9,9
20689,400,14.814814814814815,4139.6951566951575,436.00000000000006,25
20692,879,7.4491525423728815,319.0529479936259,3434.25,75
20693,26,2.1666666666666665,2.1515151515151514,110.5,10
20694,112,4.3076923076923075,19.181538461538466,408.48,23
20695,82,3.1538461538461537,19.49538461538462,332.0,24
20696,123,3.6176470588235294,5.819073083778967,461.25,28
20697,38,2.0,2.444444444444444,91.49999999999999,17
20698,43,2.263157894736842,3.2046783625731,104.25,17
20699,208,4.521739130434782,7.543961352657007,519.6,42
20700,288,24.0,2154.5454545454545,420.0,11
20701,282,21.692307692307693,2038.0641025641025,397.5,12
20702,758,3.158333333333333,13.263528591352852,3178.0,151
20703,459,2.7818181818181817,3.8301552106430155,1938.25,122
20704,345,5.390625,43.60689484126982,1200.95,60
20705,269,5.489795918367347,57.46343537414966,972.5500000000001,47
20707,1279,19.984375,4213.793402777778,914.12,48
20711,11326,16.80415430267062,1676.8679767725876,20283.78,326
20712,15709,16.982702702702703,1215.5061939861948,29105.5,387
20713,19463,20.95048439181916,2213.65918349356,35162.42,371
20714,1513,126.08333333333333,18121.901515151516,586.25,10
20715,400,400.0,0.0,424.0,1
20716,1392,8.093023255813954,82.7281381748946,1705.8,121
20717,5335,10.522682445759369,584.7045240155601,6353.53,283
20718,12255,14.07003444316877,775.3042849413407,14359.26,428
20719,19027,17.782242990654204,885.641031446981,15030.64,365
20721,1,1.0,0.0,0.85,1
20723,14542,14.600401606425702,556.4311154164399,11654.8,356
20724,25816,17.130723291307234,834.5825016677381,20503.2,524
20725,37750,14.469145266385588,559.4607999209919,59375.1,845
20726,20916,13.015556938394523,1557.740106523376,33004.76,585
20727,25392,12.416625916870416,1273.1492342068605,39904.0,705
20728,23304,12.804395604395605,1431.9837079907447,36644.28,702
20729,4626,69.04477611940298,262520.22523744905,1154.9,39
20730,1659,40.46341463414634,47408.854878048776,524.25,34
20731,4100,89.1304347826087,161493.09371980678,1179.0,40
20733,1546,15.156862745098039,1880.3513880799849,1123.7,67
20734,1379,20.279411764705884,2859.33867427568,1079.85,50
20735,824,13.079365079365079,1154.6226318484387,588.0,30
20736,286,15.88888888888889,690.9281045751635,230.1,18
20738,1585,24.384615384615383,1594.1778846153848,1270.55,46
20747,309,4.414285714285715,69.20269151138717,4212.55,48
20748,359,3.1491228070175437,22.570485949386725,3371.25,86
20749,2972,4.07681755829904,92.79079425375714,21169.64,426
20750,3608,4.137614678899083,45.11077639326307,25936.48,471
20751,2736,6.3776223776223775,67.11875040846996,5652.120000000001,264
20752,1317,4.877777777777778,205.74337050805462,2315.7000000000003,188
20753,187,4.921052631578948,22.561166429587477,391.1,30
20754,4815,7.0394736842105265,241.7510017723665,9329.220000000001,363
20755,5084,59.116279069767444,216778.73926128584,1031.0,74
20756,5679,129.0681818181818,632651.8789640592,816.7499999999999,40
20757,5301,94.66071428571429,410887.8282467532,856.23,49
20758,5378,70.76315789473684,302940.79649122834,920.9,61
20759,5734,130.3181818181818,632358.826638478,863.5,35
20760,5484,91.4,312878.4135593221,1270.2,47
20761,413,3.52991452991453,90.45814913056299,1207.37,93
20762,416,3.7477477477477477,98.17215397215394,1171.71,88
20763,245,4.1525423728813555,62.26943308007015,606.86,54
20764,597,4.117241379310345,89.07643678160915,1721.88,107
20765,405,3.347107438016529,87.71184573002765,1104.79,96
20766,475,3.8,88.67741935483866,1345.98,100
20767,750,5.0675675675675675,130.4851994851994,1546.52,112
20768,702,6.0,172.87931034482756,1357.81,98
20769,403,6.5,236.6475409836064,708.47,48
20770,902,7.912280701754386,245.9037416550225,1831.2,94
20771,551,4.919642857142857,120.61510617760618,1051.96,91
20772,926,7.068702290076335,214.89524368761005,1721.56,105
20773,3303,33.704081632653065,94137.22080791082,889.9499999999999,78
20774,3419,44.4025974025974,132753.53315105944,841.35,68
20775,3509,64.98148148148148,208720.9619147449,749.85,43
20776,3187,59.01851851851852,170833.2638015374,698.55,50
20777,3525,37.10526315789474,107625.09518477046,1016.25,78
20778,3595,44.382716049382715,139144.33919753085,891.75,66
20780,174,2.8524590163934427,30.861202185792358,857.6,35
20781,77,1.8780487804878048,3.6597560975609738,373.17,34
20782,101,1.9803921568627452,2.739607843137254,556.25,39
20783,130,3.823529411764706,57.967914438502675,658.26,20
20784,26,3.25,27.071428571428566,970.7,6
20785,44,2.588235294117647,9.757352941176471,1657.8,14
20786,22,2.4444444444444446,13.027777777777779,830.9,9
20787,11,1.375,0.26785714285714285,435.45000000000005,7
20791,5,5.0,0.0,63.75,1
20793,273,18.2,3767.7428571428577,402.75,13
20794,190,6.129032258064516,13.182795698924735,480.9,27
20795,116,6.823529411764706,64.27941176470588,228.84,15
20796,88,6.769230769230769,21.525641025641022,145.2,11
20798,445,10.348837209302326,129.61351052048727,869.7,35
20799,167,12.846153846153847,758.3076923076924,215.5,11
20800,996,498.0,488072.0,258.2,2
20801,902,12.356164383561644,189.3713850837138,845.86,61
20802,895,11.776315789473685,189.24263157894737,1137.99,68
20803,1091,17.885245901639344,598.7366120218579,680.91,50
20804,283,11.791666666666666,812.6068840579708,438.15,21
20812,5,1.6666666666666667,0.3333333333333333,12.75,3
20814,187,15.583333333333334,481.71969696969705,206.39000000000001,7
20816,24,3.4285714285714284,3.9523809523809526,123.6,5
20818,79,3.590909090909091,29.3961038961039,211.25,20
20819,208,4.16,40.25959183673469,543.71,39
20820,11,1.375,0.5535714285714286,54.45,6
20821,26,2.6,5.6,128.70000000000002,10
20822,2,2.0,0.0,9.3,1
20823,248,14.588235294117647,295.8823529411764,513.2,14
20825,360,60.0,12758.399999999998,1229.04,5
20826,355,25.357142857142858,617.4780219780221,290.72,11
20827,173,21.625,623.4107142857143,209.36,5
20828,4220,8.178294573643411,463.78562504703825,9951.0,261
20829,4700,11.352657004830919,1097.1005135043456,9350.390000000001,207
20830,296,6.297872340425532,186.99629972247914,501.59999999999997,36
20831,394,7.576923076923077,208.17043740573146,594.84,34
20832,1576,15.153846153846153,283.14115011202387,994.0999999999999,86
20833,52,10.4,82.8,811.8,3
20835,78,9.75,9.642857142857142,64.98,8
20836,224,10.181818181818182,9.87012987012987,250.00000000000003,18
20837,165,9.166666666666666,11.088235294117645,188.07000000000002,17
20838,391,10.025641025641026,37.551956815114714,387.29,36
20839,507,8.45,17.20084745762712,574.09,53
20840,813,13.327868852459016,655.7573770491801,1170.83,50
20845,73,3.4761904761904763,18.661904761904765,463.55,15
20846,1321,10.083969465648854,98.96981796829124,1627.97,105
20847,71,3.55,10.049999999999999,266.25,17
20848,39,3.25,9.113636363636363,115.05000000000001,10
20849,670,33.5,16410.894736842107,566.1,15
20850,820,35.65217391304348,20738.96442687747,713.8000000000001,19
20851,334,11.928571428571429,2928.216931216931,417.7,21
20854,363,4.321428571428571,97.23278829604128,581.15,66
20855,142,3.021276595744681,13.4995374653099,234.29999999999998,41
20856,332,3.688888888888889,9.902122347066168,547.8,70
20857,248,3.263157894736842,6.783157894736841,409.2,57
20858,4,4.0,0.0,6.6,1
20860,19,1.9,1.877777777777778,39.900000000000006,10
20861,45,2.8125,6.9625,94.5,15
20862,316,11.285714285714286,463.61904761904765,652.5300000000001,21
20863,284,6.761904761904762,262.0882694541231,563.19,35
20864,247,9.148148148148149,391.66951566951565,483.33,20
20865,247,8.233333333333333,361.97816091954024,485.49,24
20866,963,11.068965517241379,832.4137931034485,972.29,76
20867,844,10.96103896103896,789.8537252221463,791.72,68
20868,789,17.152173913043477,1669.3763285024143,437.66,40
20869,459,14.34375,1820.9425403225805,225.49,30
20870,26,6.5,64.33333333333334,39.300000000000004,4
20871,1202,15.41025641025641,1105.3879453879456,1713.3,72
20877,10,3.3333333333333335,6.333333333333334,4.2,3
20878,689,9.985507246376812,172.04390451832901,833.89,61
20879,50,6.25,7.357142857142856,32.5,8
20881,2,2.0,0.0,1.7,1
20882,2,2.0,0.0,5.9,1
20884,2,1.0,0.0,4.2,2
20885,1,1.0,0.0,2.95,1
20886,1686,6.771084337349397,126.58851535172946,3161.4,163
20887,5,1.25,0.25,17.25,4
20888,359,32.63636363636363,4828.054545454545,499.81,10
20889,656,54.666666666666664,13211.696969696968,392.0,12
20890,4,4.0,0.0,15.0,1
20891,2,2.0,0.0,15.9,1
20892,86,3.739130434782609,9.383399209486164,699.7,21
20893,538,8.151515151515152,321.91515151515154,1210.3500000000001,41
20894,227,3.721311475409836,22.53770491803279,650.45,47
20895,16,4.0,28.666666666666668,47.20000000000001,3
20896,38,2.7142857142857144,9.296703296703297,112.10000000000001,13
20897,298,8.054054054054054,594.3303303303303,613.9000000000001,29
20898,307,7.871794871794871,519.3778677462886,620.0500000000001,35
20899,44,3.3846153846153846,15.089743589743586,129.8,12
20901,33,2.0625,1.2625000000000004,209.54999999999998,14
20902,69,4.6,62.25714285714286,313.34999999999997,11
20903,103,5.421052631578948,68.7017543859649,337.25,19
20905,6,2.0,3.0,38.1,3
20906,77,2.6551724137931036,4.376847290640392,227.15000000000003,25
20910,80,2.857142857142857,18.941798941798943,488.79999999999995,11
20913,295,9.833333333333334,1405.66091954023,787.05,26
20914,18235,10.01372872048325,805.9289322977966,50195.33,647
20931,611,5.932038834951456,73.29925756710452,1776.2500000000002,91
20932,305,5.446428571428571,49.23344155844155,932.0500000000001,54
20933,493,11.465116279069768,2236.4451827242524,1245.15,38
20934,167,3.4791666666666665,17.57402482269504,877.1500000000001,44
20935,293,7.325,104.94294871794874,535.5500000000001,35
20936,309,5.618181818181818,61.573737373737394,704.33,42
20939,12,12.0,0.0,10.2,1
20940,113,6.277777777777778,67.0359477124183,312.55,15
20941,928,13.257142857142858,715.6430641821945,719.62,54
20942,6,1.5,0.3333333333333333,7.5,4
20943,332,6.916666666666667,25.82269503546099,415.0,46
20950,652,9.878787878787879,100.26200466200466,282.96999999999997,57
20952,321,16.05,2995.944736842105,134.82,19
20953,19,2.7142857142857144,1.9047619047619049,31.349999999999998,7
20956,2120,14.620689655172415,624.959291187739,2538.43,117
20957,67,5.583333333333333,20.4469696969697,97.15,12
20958,26,2.888888888888889,5.611111111111112,50.7,9
20960,1739,12.07638888888889,259.00810994560993,2169.95,85
20961,3138,9.867924528301886,407.64811618356026,3850.66,177
20963,3038,10.194630872483222,386.6488599642964,3729.29,168
20964,20,3.3333333333333335,4.666666666666666,51.0,6
20966,2576,10.915254237288135,401.78853227551417,3182.0,137
20967,1023,3.7065217391304346,20.38992094861661,3771.09,187
20968,37,2.466666666666667,2.838095238095238,138.75,14
20969,3090,5.953757225433526,314.02488450465324,11155.41,285
20970,2403,4.739644970414201,55.157377739317525,8796.77,278
20971,20500,20.137524557956777,6452.87192385633,23554.3,490
20972,20064,16.206785137318256,1392.1900266813652,23812.52,568
20973,9091,16.992523364485983,2679.340767965275,5776.55,309
20974,12699,17.83567415730337,1582.4131840737052,8049.150000000001,370
20975,17490,22.139240506329113,3417.306316279223,11109.7,460
20976,518,8.09375,125.61011904761911,336.7,51
20977,3508,9.717451523545707,99.89772237611572,4357.64,242
20978,3789,9.378712871287128,167.06465739626057,4654.17,253
20979,7741,14.886538461538462,446.6942307692307,9332.73,310
20980,171,4.275,21.435256410256414,213.75,35
20981,4431,10.328671328671328,299.0342461277041,3691.47,290
20982,4601,9.276209677419354,114.09527126099702,3899.93,316
20983,6046,10.815742397137745,220.37279832778708,5107.9,359
20984,5821,25.1991341991342,2736.0819122906087,1887.29,178
20985,2131,9.513392857142858,438.950492472774,2531.53,162
20986,994,7.362962962962963,309.80011055831966,1173.76,94
20987,117,9.75,88.56818181818181,228.15,11
20988,24,2.6666666666666665,3.75,46.8,8
20989,397,8.270833333333334,212.0740248226951,744.15,29
20990,857,9.522222222222222,319.17365792759034,1581.1499999999999,54
20991,7058,441.125,2847739.4500000007,850.9000000000001,12
20992,6030,15.265822784810126,865.1398188010027,3069.62,222
20993,10945,456.0416666666667,3597446.998188406,1305.49,23
20994,47,3.9166666666666665,6.81060606060606,39.949999999999996,12
20996,6123,22.59409594095941,4194.145742790761,1568.46,179
20997,81,2.892857142857143,2.3214285714285716,400.95,25
20998,217,3.7413793103448274,7.21264367816092,637.35,52
21000,616,15.4,6182.399999999996,1493.0,37
21001,67,2.161290322580645,2.5397849462365594,398.65000000000003,29
21002,110,4.230769230769231,32.66461538461539,467.5,25
21003,22,2.0,2.0,139.7,10
21004,105,2.142857142857143,1.5416666666666667,446.25,40
21007,1905,48.84615384615385,4406.870445344129,851.23,36
21009,885,10.792682926829269,78.73426678711235,1106.25,72
21010,806,11.852941176470589,76.60491659350308,1007.5,62
21011,1774,16.275229357798164,324.479102956167,1249.78,84
21012,1470,10.27972027972028,883.4705013296557,2143.08,112
21014,1662,14.839285714285714,193.52348777348772,737.66,91
21015,1431,15.554347826086957,226.4255852842809,511.38999999999993,80
21016,804,11.485714285714286,205.61573498964805,538.92,58
21017,548,14.051282051282051,1060.2078272604588,358.28,32
21018,207,5.3076923076923075,26.481781376518217,175.95,30
21025,221,6.138888888888889,29.208730158730162,278.5,30
21026,396,7.071428571428571,42.83116883116883,493.62,48
21027,276,5.75,22.999999999999996,339.3,39
21028,237,5.925,26.99423076923077,297.64,31
21030,219,5.475,19.640384615384612,272.37,37
21031,126,5.04,26.123333333333335,154.91,23
21032,167,5.21875,24.757056451612907,210.48,28
21033,3411,11.641638225255972,1157.77867127963,6463.67,163
21034,3884,1.9917948717948717,4.448367736248702,3689.7999999999997,800
21035,5534,8.8544,580.9611384615384,15895.86,327
21036,1,1.0,0.0,2.55,1
21038,156,3.183673469387755,5.153061224489797,319.8,39
21039,1283,6.415,72.34449748743717,3253.11,141
21040,855,18.19148936170213,1993.7668825161888,1011.45,43
21041,2228,6.650746268656716,232.84472249530805,6298.6,191
21042,1401,4.120588235294117,82.33054832552493,7848.450000000001,200
21043,601,6.752808988764045,93.87002042900917,1519.95,81
21051,663,6.90625,90.9069078947368,1308.23,79
21054,350,2.1341463414634148,5.8346550950172045,3112.5,119
21055,316,1.7853107344632768,1.7604648176682078,2889.64,122
21056,525,2.9329608938547485,35.51233444228233,4681.63,119
21058,2216,10.502369668246445,327.0702324531706,1824.32,148
21059,1550,7.828282828282828,121.6962518586884,1294.1,158
21060,1208,9.821138211382113,678.7710249233637,864.1999999999999,102
21061,1303,10.341269841269842,692.8666031746025,919.27,104
21062,1009,8.338842975206612,48.14256198347103,833.53,102
21063,1363,6.883838383838384,122.24532123263084,1136.71,143
21064,721,6.80188679245283,1508.5984725965873,3620.65,75
21065,516,8.459016393442623,352.88579234972684,1011.6,44
21066,2258,20.527272727272727,2670.765304420349,1429.96,81
21067,4517,24.955801104972377,5785.564702271334,3302.7200000000003,130
21068,3901,15.003846153846155,3338.482610632608,3817.23,149
21069,4901,27.07734806629834,10813.682872928177,4909.400000000001,110
21070,1908,11.493975903614459,1344.9908725812338,1836.16,107
21071,3981,12.47962382445141,2133.9107470278586,4299.7,163
21076,759,10.12,588.6475675675673,584.67,60
21077,2745,16.147058823529413,1444.5877131917853,1990.53,111
21078,6539,11.976190476190476,406.3829183049366,5097.7699999999995,342
21080,29494,17.390330188679247,1259.1301483274904,22539.48,798
21081,4,1.0,0.0,3.4,4
21082,7062,59.34453781512605,156692.75316906424,1764.3,94
21084,2486,17.757142857142856,586.8758478931144,650.4000000000001,113
21085,13712,236.41379310344828,2794817.8959467625,1843.1200000000001,42
21086,15834,25.09350237717908,2795.586481523405,9513.300000000001,311
21087,220,10.476190476190476,65.46190476190476,123.22,19
21088,16503,157.17142857142858,954156.508791209,1723.3300000000002,95
21089,316,8.777777777777779,32.63492063492062,100.98,32
