customer_id,recency,frequency,monetary,average_order_value,first_purchase_date,customer_tenure_days,purchase_frequency_per_day,churn,churn_probability
12384,29,2,585.27,292.635,2011-08-10 11:23:00,122,0.0163934426229508,0,0.2623262
12385,379,1,1938.4,1938.4,2010-11-25 15:14:00,379,0.0026385224274406,1,0.9992878
12386,338,2,401.9,200.95,2010-12-08 09:53:00,367,0.0054495912806539,1,0.5573814
12387,415,1,143.94,143.94,2010-10-20 16:27:00,415,0.0024096385542168,1,0.99944764
12388,16,8,3901.11,487.63875,2010-05-06 12:54:00,582,0.0137457044673539,0,0.20685942
12389,403,3,1433.33,477.7766666666666,2010-02-22 10:15:00,656,0.0045731707317073,1,0.7041179
12390,80,1,549.84,549.84,2011-09-21 09:33:00,80,0.0125,0,0.0052684112
12391,22,6,2724.84,454.14,2010-02-15 10:12:00,663,0.0090497737556561,0,0.5600424
12392,591,1,234.75000000000003,234.75000000000003,2010-04-27 14:04:00,591,0.0016920473773265,1,0.9992073
12393,72,6,2399.45,399.9083333333333,2010-10-07 13:49:00,428,0.014018691588785,0,0.14969881
12394,64,2,1272.48,636.24,2011-05-06 14:01:00,217,0.0092165898617511,0,0.45085815
12395,19,15,4721.17,314.74466666666666,2010-04-16 10:16:00,603,0.0248756218905472,0,0.08354156
12396,674,1,931.43,931.43,2010-02-03 13:22:00,674,0.0014836795252225,1,0.9983784
12397,36,2,2409.9,1204.95,2011-07-27 14:21:00,135,0.0148148148148148,0,0.21654364
12398,46,1,1635.66,1635.66,2011-10-25 10:27:00,46,0.0217391304347826,0,0.0021268476
12399,119,7,1962.3,280.3285714285714,2010-03-05 08:45:00,645,0.0108527131782945,1,0.5096778
12400,414,1,205.25,205.25,2010-10-21 13:45:00,414,0.002415458937198,1,0.99940085
12401,303,1,84.3,84.3,2011-02-09 13:50:00,303,0.0033003300330033,1,0.99820864
12402,323,6,1256.9,209.48333333333332,2010-02-07 12:41:00,671,0.0089418777943368,1,0.5805435
12403,50,2,1019.36,509.68,2010-07-06 11:39:00,522,0.003831417624521,0,0.8158367
12404,682,1,63.24,63.24,2010-01-26 16:25:00,682,0.001466275659824,1,0.9991823
12405,149,1,1710.39,1710.39,2011-07-14 08:52:00,149,0.0067114093959731,1,0.9916155
12406,22,5,6390.36,1278.072,2010-01-11 14:04:00,697,0.0071736011477761,0,0.6065789
12407,50,5,1708.12,341.624,2011-03-20 13:21:00,264,0.0189393939393939,0,0.08132346
12408,33,8,4340.77,542.59625,2010-07-29 13:27:00,498,0.0160642570281124,0,0.1630164
12409,79,7,23419.29,3345.612857142857,2010-05-23 15:21:00,565,0.0123893805309734,0,0.2732582
12410,309,3,1013.71,337.90333333333336,2010-07-25 13:26:00,502,0.0059760956175298,1,0.72112864
12411,410,1,346.9,346.9,2010-10-26 09:25:00,410,0.0024390243902439,1,0.99937445
12412,75,6,2596.93,432.82166666666666,2010-06-18 13:22:00,539,0.0111317254174397,0,0.29635063
12413,67,4,999.45,249.8625,2010-11-02 13:26:00,402,0.0099502487562189,0,0.25004345
12414,217,6,952.41,158.735,2010-09-02 12:22:00,464,0.0129310344827586,1,0.43441996
12415,24,28,144458.37,5159.2275,2010-06-30 08:30:00,528,0.053030303030303,0,0.11067939
12416,657,1,202.56,202.56,2010-02-21 10:19:00,657,0.0015220700152207,1,0.9992454
12417,3,20,6797.41,339.8705,2009-12-06 10:30:00,734,0.0272479564032697,0,0.09329816
12418,113,4,2021.2,505.3,2010-03-19 14:47:00,630,0.0063492063492063,1,0.76337665
12419,386,2,503.01,251.505,2010-10-22 10:40:00,414,0.0048309178743961,1,0.7014001
12420,64,1,600.39,600.39,2011-10-07 08:55:00,64,0.015625,0,0.0019320062
12421,16,6,1098.6,183.1,2010-07-22 13:57:00,505,0.0118811881188118,0,0.3445978
12422,96,17,5231.8,307.7529411764706,2009-12-18 12:44:00,722,0.0235457063711911,1,0.093522795
12423,1,10,2622.39,262.239,2010-08-31 09:31:00,466,0.0214592274678111,0,0.088567056
12424,163,4,3340.03,835.0074999999999,2010-06-09 15:15:00,548,0.0072992700729927,1,0.62098724
12425,78,2,1741.41,870.705,2010-09-17 14:10:00,448,0.0044642857142857,0,0.4882968
12426,195,2,1345.21,672.605,2010-02-15 08:41:00,663,0.0030165912518853,1,0.9479616
12427,22,3,825.8000000000001,275.2666666666667,2010-12-03 10:44:00,372,0.0080645161290322,0,0.37056366
12428,26,9,7956.46,884.0511111111111,2011-03-01 09:33:00,284,0.0316901408450704,0,0.060277816
12429,9,8,6204.41,775.55125,2010-06-11 13:28:00,546,0.0146520146520146,0,0.19823524
12430,43,1,256.4,256.4,2011-10-27 15:09:00,43,0.0232558139534883,0,0.0011186758
12431,36,27,10432.22,386.37851851851855,2010-01-15 09:04:00,694,0.0389048991354466,0,0.041715942
12432,43,5,5059.32,1011.864,2011-06-20 13:27:00,172,0.0290697674418604,0,0.07522649
12433,1,10,16794.14,1679.414,2010-08-20 09:23:00,477,0.020964360587002,0,0.08701953
12434,85,3,1103.43,367.81,2010-11-23 13:38:00,381,0.0078740157480314,0,0.3483692
12435,80,6,13925.93,2320.988333333333,2009-12-02 13:58:00,737,0.0081411126187245,0,0.510834
12436,100,1,509.01,509.01,2011-09-01 12:09:00,100,0.01,1,0.97021735
12437,2,39,12683.4,325.2153846153846,2009-12-02 16:24:00,737,0.0529172320217096,0,0.085407935
12438,14,2,2906.85,1453.425,2011-07-22 13:29:00,140,0.0142857142857142,0,0.21638358
12439,683,2,1142.88,571.44,2009-12-14 08:40:00,726,0.0027548209366391,1,0.9271903
12440,462,2,859.2,429.6,2009-12-22 12:03:00,718,0.0027855153203342,1,0.9078535
12441,367,1,173.55,173.55,2010-12-08 10:45:00,367,0.0027247956403269,1,0.99908733
12442,3,1,172.06,172.06,2011-12-06 14:22:00,3,0.3333333333333333,0,0.001113941
12443,732,1,485.31,485.31,2009-12-07 15:42:00,732,0.0013661202185792,1,0.9972095
12444,21,5,5005.46,1001.092,2011-06-21 14:00:00,171,0.0292397660818713,0,0.055900976
12445,22,2,434.98,217.49,2010-10-15 12:28:00,421,0.004750593824228,0,0.64420676
12446,58,1,1002.31,1002.31,2011-10-13 12:50:00,58,0.0172413793103448,0,0.002249164
12447,243,1,476.49,476.49,2011-04-10 13:25:00,243,0.0041152263374485,1,0.99817586
12448,44,1,449.45,449.45,2011-10-26 13:46:00,44,0.0227272727272727,0,0.002380238
12449,22,6,4835.89,805.9816666666667,2010-09-27 09:37:00,439,0.0136674259681093,0,0.1481713
12450,156,5,688.2,137.64,2010-08-22 13:11:00,474,0.010548523206751,1,0.55343527
12451,11,8,12669.88,1583.735,2010-06-28 12:58:00,529,0.0151228733459357,0,0.18826884
12452,17,2,430.5700000000001,215.28500000000005,2011-11-23 08:05:00,17,0.1176470588235294,0,0.0010224427
12453,134,1,707.09,707.09,2011-07-28 14:08:00,134,0.0074626865671641,1,0.9913954
12454,56,5,16679.78,3335.956,2010-10-14 17:33:00,421,0.01187648456057,0,0.19305135
12455,73,10,5879.95,587.995,2009-12-18 12:33:00,722,0.0138504155124653,0,0.17489518
12456,44,3,3181.04,1060.3466666666666,2011-03-30 09:12:00,255,0.0117647058823529,0,0.4279923
12457,66,8,2995.91,374.48875,2010-09-30 17:59:00,435,0.0183908045977011,0,0.07267772
12458,71,4,1777.49,444.3725,2010-08-09 10:33:00,488,0.0081967213114754,0,0.50711334
12459,605,1,454.36,454.36,2010-04-13 14:53:00,605,0.0016528925619834,1,0.99914944
12460,456,1,326.65,326.65,2010-09-09 13:51:00,456,0.0021929824561403,1,0.9990688
12461,94,2,826.88,413.44,2011-07-08 10:23:00,155,0.0129032258064516,1,0.2790309
12462,19,2,1189.59,594.795,2011-02-09 14:44:00,303,0.0066006600660066,0,0.36360735
12463,53,4,1344.78,336.195,2011-04-12 12:47:00,242,0.0165289256198347,0,0.17487314
12464,10,8,1212.05,151.50625,2011-02-03 13:30:00,309,0.0258899676375404,0,0.12010984
12465,17,2,742.19,371.095,2011-06-23 13:37:00,169,0.0118343195266272,0,0.39236704
12466,682,1,56.73,56.73,2010-01-26 16:26:00,682,0.001466275659824,1,0.9991823
12467,423,1,132.8,132.8,2010-10-12 15:41:00,423,0.0023640661938534,1,0.9994012
12468,188,5,3670.74,734.148,2010-01-26 10:09:00,683,0.007320644216691,1,0.5960409
12469,523,2,3070.54,1535.27,2010-06-21 10:30:00,537,0.0037243947858473,1,0.9149721
12470,690,1,211.95,211.95,2010-01-19 11:01:00,690,0.0014492753623188,1,0.99899155
12471,2,79,39918.19,505.2935443037975,2009-12-07 10:41:00,733,0.1077762619372442,0,0.010082736
12472,32,19,16249.29,855.2257894736842,2009-12-14 10:49:00,726,0.0261707988980716,0,0.19221719
12473,29,5,3928.05,785.61,2011-06-01 10:15:00,192,0.0260416666666666,0,0.08118289
12474,17,31,12372.75,399.1209677419355,2010-02-11 09:41:00,667,0.0464767616191904,0,0.082424276
12475,54,2,1149.64,574.82,2010-10-26 08:49:00,410,0.0048780487804878,0,0.33572337
12476,16,23,14083.91,612.3439130434782,2010-07-26 09:04:00,502,0.045816733067729,0,0.1230433
12477,23,9,20276.37,2252.93,2010-03-26 14:01:00,623,0.0144462279293739,0,0.20285387
12478,4,1,680.99,680.99,2011-12-06 09:56:00,4,0.25,0,0.00077837263
12479,11,1,527.2,527.2,2011-11-28 13:26:00,11,0.0909090909090909,0,0.0011976988
12480,28,7,5464.85,780.6928571428572,2010-07-20 13:21:00,507,0.0138067061143984,0,0.16244064
12481,23,15,12185.51,812.3673333333334,2010-04-11 13:10:00,607,0.0247116968698517,0,0.09985574
12482,576,29,23691.4,816.944827586207,2010-02-24 10:24:00,654,0.0443425076452599,1,0.13798502
12483,17,19,5097.18,268.27263157894737,2010-01-31 13:28:00,677,0.0280649926144756,0,0.09661272
12484,33,12,6354.1,529.5083333333333,2010-01-27 16:41:00,681,0.0176211453744493,0,0.20686331
12485,529,1,708.1,708.1,2010-06-28 15:22:00,529,0.0018903591682419,1,0.99893945
12486,432,1,1037.28,1037.28,2010-10-04 12:14:00,432,0.0023148148148148,1,0.99868673
12487,731,1,285.3,285.3,2009-12-09 11:36:00,731,0.0013679890560875,1,0.9987286
12488,10,3,1298.66,432.8866666666667,2011-09-25 10:34:00,76,0.0394736842105263,0,0.0015954389
12489,336,1,334.93,334.93,2011-01-07 13:13:00,336,0.0029761904761904,1,0.9984944
12490,5,21,9823.64,467.79238095238094,2009-12-01 12:52:00,738,0.0284552845528455,0,0.109138705
12491,39,1,460.4,460.4,2011-11-01 12:18:00,39,0.0256410256410256,0,0.002380238
12492,63,3,715.21,238.4033333333333,2010-11-01 14:58:00,403,0.0074441687344913,0,0.44205713
12493,166,2,433.74,216.87,2011-05-26 14:53:00,197,0.0101522842639593,1,0.5645545
12494,16,9,1815.27,201.69666666666663,2010-05-12 13:52:00,576,0.015625,0,0.25072008
12495,641,1,357.4,357.4,2010-03-09 10:53:00,641,0.0015600624024961,1,0.9984114
12496,620,2,45.34,22.67,2010-03-29 13:57:00,620,0.0032258064516129,1,0.82183033
12497,82,3,6248.5,2082.833333333333,2010-03-05 09:39:00,645,0.0046511627906976,0,0.70651764
12498,21,3,403.7000000000001,134.5666666666667,2011-10-13 09:30:00,58,0.0517241379310344,0,0.0025065779
12499,560,1,393.72,393.72,2010-05-28 15:12:00,560,0.0017857142857142,1,0.99921036
12500,23,19,5955.21,313.4321052631579,2010-02-04 15:05:00,673,0.0282317979197622,0,0.09661272
12501,337,1,2169.39,2169.39,2011-01-07 12:28:00,337,0.0029673590504451,1,0.9989197
12502,96,5,3723.87,744.774,2011-02-03 10:41:00,310,0.0161290322580645,1,0.26627424
12503,584,1,1126.0,1126.0,2010-05-04 13:59:00,584,0.0017123287671232,1,0.9989078
12504,18,4,779.05,194.7625,2010-04-22 10:24:00,597,0.0067001675041876,0,0.5963734
12505,409,1,955.2,955.2,2010-10-27 09:18:00,409,0.0024449877750611,1,0.99864584
12506,233,1,73.5,73.5,2011-04-21 08:54:00,233,0.0042918454935622,1,0.9981775
12507,134,4,1844.06,461.015,2010-05-04 09:23:00,585,0.0068376068376068,1,0.630923
12508,26,2,397.88,198.94,2011-11-10 16:27:00,29,0.0689655172413793,0,0.0010224427
12509,284,1,176.5,176.5,2011-02-28 14:45:00,284,0.0035211267605633,1,0.9985024
12510,143,9,5178.02,575.3355555555556,2009-12-04 13:47:00,735,0.0122448979591836,1,0.32074606
12511,429,1,3084.02,3084.02,2010-10-07 10:39:00,429,0.0023310023310023,1,0.9989894
12512,66,2,132.18,66.09,2011-10-04 14:53:00,66,0.0303030303030303,0,0.0030351647
12513,113,1,612.29,612.29,2011-08-19 10:51:00,113,0.0088495575221238,1,0.98533154
12514,267,2,1597.76,798.88,2010-03-08 12:18:00,642,0.0031152647975077,1,0.91069716
12515,353,1,383.7,383.7,2010-12-21 15:43:00,353,0.0028328611898017,1,0.9986455
12516,78,4,2648.62,662.155,2010-04-19 14:14:00,599,0.006677796327212,0,0.41321304
12517,28,5,2481.6,496.32,2011-06-02 15:13:00,190,0.0263157894736842,0,0.08773091
12518,1,5,2056.89,411.378,2011-08-21 13:18:00,110,0.0454545454545454,0,0.01319661
12519,64,2,716.54,358.27,2010-08-20 08:21:00,477,0.0041928721174004,0,0.7617332
12520,79,5,2634.26,526.8520000000001,2011-03-11 11:35:00,274,0.0182481751824817,0,0.15280196
12521,143,1,599.68,599.68,2011-07-20 10:51:00,143,0.0069930069930069,1,0.99082994
12522,39,2,192.72,96.36,2011-10-19 14:41:00,51,0.0392156862745098,0,0.0016890904
12523,19,23,4352.35,189.2326086956522,2009-12-07 13:46:00,732,0.0314207650273224,0,0.045824673
12524,9,17,11126.11,654.4770588235294,2010-02-08 14:41:00,669,0.0254110612855007,0,0.10258045
12525,498,3,973.73,324.57666666666665,2010-03-02 14:01:00,647,0.0046367851622874,1,0.66288805
12526,1,3,1316.66,438.8866666666667,2011-09-06 14:19:00,94,0.0319148936170212,0,0.0038536245
12527,82,5,735.51,147.102,2010-06-28 15:37:00,529,0.0094517958412098,0,0.5054167
12528,9,6,1933.48,322.24666666666667,2011-01-31 09:05:00,313,0.0191693290734824,0,0.095714875
12529,528,1,316.48,316.48,2010-06-29 13:10:00,528,0.0018939393939393,1,0.99901795
12530,60,9,3759.26,417.6955555555556,2010-03-07 14:37:00,642,0.014018691588785,0,0.18195604
12531,15,2,1933.2,966.6,2010-01-22 14:17:00,686,0.0029154518950437,0,0.92689043
12532,30,1,349.83000000000004,349.83000000000004,2011-11-09 13:47:00,30,0.0333333333333333,0,0.0014177448
12533,628,2,1367.89,683.945,2009-12-01 11:50:00,739,0.0027063599458728,1,0.96077114
12534,131,1,1089.18,1089.18,2011-08-01 10:26:00,131,0.0076335877862595,1,0.9867063
12535,92,2,716.35,358.175,2011-06-06 12:47:00,187,0.0106951871657754,1,0.59128726
12536,43,3,12601.830000000002,4200.610000000001,2011-10-11 14:52:00,59,0.0508474576271186,0,0.0024227374
12537,409,1,732.94,732.94,2010-10-27 08:36:00,409,0.0024449877750611,1,0.9992499
12538,29,2,640.45,320.225,2010-11-26 13:02:00,378,0.0052910052910052,0,0.5041361
12539,22,7,11214.75,1602.107142857143,2009-12-23 13:00:00,716,0.0097765363128491,0,0.44266826
12540,20,33,22254.49,674.3784848484848,2009-12-07 16:56:00,732,0.0450819672131147,0,0.05238353
12541,30,3,981.18,327.06,2011-03-04 09:32:00,281,0.0106761565836298,0,0.3101473
12542,484,2,481.88,240.94,2010-03-09 16:26:00,640,0.003125,1,0.8960016
12543,448,1,980.25,980.25,2010-09-17 15:51:00,448,0.0022321428571428,1,0.99868673
12544,36,1,372.7,372.7,2011-11-03 16:15:00,36,0.0277777777777777,0,0.001721237
12545,75,2,1000.39,500.195,2011-03-25 12:04:00,260,0.0076923076923076,0,0.6326059
12546,47,2,1161.5,580.75,2011-09-23 09:44:00,78,0.0256410256410256,0,0.0012925189
12547,198,3,383.58,127.86,2010-07-27 13:55:00,500,0.006,1,0.7498767
12548,166,1,95.2,95.2,2011-06-26 15:35:00,166,0.0060240963855421,1,0.9979656
12549,576,6,1575.68,262.61333333333334,2010-01-11 12:29:00,698,0.0085959885386819,1,0.6893863
12550,79,1,964.83,964.83,2011-09-21 14:35:00,79,0.0126582278481012,0,0.0035193274
12551,358,1,168.0,168.0,2010-12-17 11:23:00,358,0.0027932960893854,1,0.9989987
12552,39,2,437.82,218.91,2011-10-31 12:11:00,40,0.05,0,0.002198143
12553,8,12,4608.75,384.0625,2010-10-12 13:35:00,423,0.0283687943262411,0,0.053284004
12554,449,1,468.5,468.5,2010-09-17 12:29:00,449,0.0022271714922048,1,0.99914527
12555,682,1,129.23,129.23,2010-01-26 16:26:00,682,0.001466275659824,1,0.9992685
12556,50,2,599.56,299.78,2011-07-11 13:35:00,151,0.0132450331125827,0,0.44129363
12557,16,8,18096.14,2262.0175,2009-12-17 10:39:00,723,0.0110650069156293,0,0.3138751
12558,8,1,269.96,269.96,2011-12-02 10:41:00,8,0.125,0,0.0006115323
12559,311,2,561.71,280.855,2011-01-24 10:12:00,320,0.00625,1,0.58984065
12560,5,3,2134.01,711.3366666666667,2011-07-19 15:55:00,143,0.0209790209790209,0,0.0684673
12561,303,1,238.85,238.85,2011-02-10 11:39:00,303,0.0033003300330033,1,0.9975031
12562,8,9,4966.92,551.88,2010-09-30 13:13:00,435,0.0206896551724137,0,0.07629185
12563,409,1,249.24,249.24,2010-10-27 09:52:00,409,0.0024449877750611,1,0.9993436
12564,261,1,456.9,456.9,2011-03-23 14:55:00,261,0.003831417624521,1,0.99877447
12565,289,1,145.92000000000002,145.92000000000002,2011-02-24 10:34:00,289,0.0034602076124567,1,0.9983865
12566,86,1,351.65,351.65,2011-09-14 14:30:00,86,0.0116279069767441,0,0.0064143674
12567,23,15,11767.48,784.4986666666666,2010-02-11 10:30:00,667,0.0224887556221889,0,0.12047985
12568,645,1,70.0,70.0,2010-03-05 09:15:00,645,0.0015503875968992,1,0.99856347
12569,2,32,4124.6900000000005,128.89656250000002,2011-04-01 13:47:00,252,0.1269841269841269,0,0.028018136
12570,682,1,77.52,77.52,2010-01-26 17:28:00,682,0.001466275659824,1,0.9991823
12571,40,2,519.61,259.805,2011-08-10 12:35:00,122,0.0163934426229508,0,0.2623262
12572,9,2,1020.42,510.21,2011-10-19 08:20:00,52,0.0384615384615384,0,0.0016770317
12573,227,5,717.41,143.482,2010-08-31 17:25:00,465,0.010752688172043,1,0.5187076
12574,316,1,218.45,218.45,2011-01-28 09:20:00,316,0.0031645569620253,1,0.9982343
12575,457,2,622.82,311.41,2010-07-01 09:15:00,527,0.0037950664136622,1,0.8834628
12576,36,8,2142.7200000000003,267.84000000000003,2010-07-01 13:46:00,526,0.0152091254752851,0,0.28045267
12577,35,8,1617.1,202.1375,2009-12-03 19:31:00,736,0.0108695652173913,0,0.4404895
12578,21,4,4642.45,1160.6125,2010-09-22 11:19:00,444,0.009009009009009,0,0.37980434
12579,78,1,440.42,440.42,2011-09-22 17:15:00,78,0.0128205128205128,0,0.004283656
12580,247,2,1052.9,526.45,2010-05-12 11:45:00,577,0.0034662045060658,1,0.84742
12581,40,1,197.71,197.71,2011-10-31 08:56:00,40,0.025,0,0.0011534167
12582,239,4,1980.4,495.1,2010-05-11 09:55:00,578,0.0069204152249134,1,0.630923
12583,3,27,13591.58,503.3918518518519,2009-12-06 11:57:00,734,0.0367847411444141,0,0.040789105
12584,4,9,2338.15,259.7944444444445,2011-03-04 15:15:00,280,0.0321428571428571,0,0.032817397
12585,234,2,2040.1,1020.05,2010-12-23 12:58:00,351,0.0056980056980056,1,0.63840765
12586,17,4,2062.67,515.6675,2009-12-16 13:15:00,723,0.0055325034578146,0,0.7058663
12587,8,1,144.0,144.0,2011-12-02 12:47:00,8,0.125,0,0.0014473144
12588,39,4,958.78,239.695,2010-04-21 12:22:00,598,0.0066889632107023,0,0.59421283
12589,29,8,4695.66,586.9575,2010-01-19 12:26:00,690,0.0115942028985507,0,0.32587865
12590,211,2,9864.26,4932.13,2011-05-12 14:46:00,211,0.0094786729857819,1,0.5499645
12591,317,3,1338.95,446.31666666666666,2010-10-27 10:42:00,409,0.0073349633251833,1,0.26745582
12592,92,5,2582.66,516.5319999999999,2010-07-08 14:06:00,519,0.0096339113680154,1,0.34408244
12593,109,3,418.1,139.36666666666667,2011-05-05 09:29:00,219,0.0136986301369863,1,0.41914824
12594,38,15,5090.110000000001,339.3406666666667,2010-03-03 13:51:00,646,0.023219814241486,0,0.089704365
12595,505,1,299.02,299.02,2010-07-23 09:10:00,505,0.0019801980198019,1,0.9990688
12596,51,2,618.27,309.135,2011-04-11 13:22:00,242,0.0082644628099173,0,0.58593655
12597,19,4,3811.22,952.805,2011-03-16 14:00:00,268,0.0149253731343283,0,0.30138922
12598,10,11,4534.09,412.19,2010-03-01 09:58:00,649,0.0169491525423728,0,0.2199605
12599,29,13,2296.72,176.67076923076922,2010-05-11 10:42:00,578,0.0224913494809688,0,0.109403536
12600,29,21,4967.42,236.54380952380956,2009-12-07 13:37:00,732,0.0286885245901639,0,0.08495042
12601,190,6,681.26,113.54333333333334,2010-10-31 10:57:00,405,0.0148148148148148,1,0.5305086
12602,59,1,153.12,153.12,2011-10-12 11:22:00,59,0.0169491525423728,0,0.0044087567
12603,22,1,739.1999999999999,739.1999999999999,2011-11-18 10:42:00,22,0.0454545454545454,0,0.0015027727
12604,79,2,254.18,127.09,2011-03-23 12:06:00,262,0.0076335877862595,0,0.34980175
12605,376,4,1232.95,308.2375,2010-09-07 14:21:00,458,0.0087336244541484,1,0.52057093
12606,682,1,21.0,21.0,2010-01-26 16:23:00,682,0.001466275659824,1,0.9990588
12607,60,1,1579.51,1579.51,2011-10-10 16:06:00,60,0.0166666666666666,0,0.0023142134
12608,405,1,415.79,415.79,2010-10-31 10:49:00,405,0.0024691358024691,1,0.9991505
12609,78,9,3435.86,381.7622222222223,2009-12-20 13:30:00,719,0.0125173852573018,0,0.2139044
12610,23,5,2099.54,419.908,2011-08-05 13:52:00,126,0.0396825396825396,0,0.020456195
12611,52,1,1193.32,1193.32,2011-10-18 13:12:00,52,0.0192307692307692,0,0.0021268476
12612,74,1,704.04,704.04,2011-09-26 15:35:00,74,0.0135135135135135,0,0.0020162677
12613,57,10,6817.37,681.737,2009-12-14 13:10:00,725,0.0137931034482758,0,0.16920717
12614,278,1,315.6,315.6,2011-03-07 10:22:00,278,0.0035971223021582,1,0.9974778
12615,2,8,5740.9800000000005,717.6225000000001,2010-03-18 14:09:00,631,0.0126782884310618,0,0.20075494
12616,95,3,1131.1,377.0333333333333,2010-11-16 11:38:00,389,0.0077120822622107,1,0.3483692
12617,29,1,352.98,352.98,2011-11-10 14:39:00,29,0.0344827586206896,0,0.0014177448
12618,22,1,177.31,177.31,2011-11-18 11:10:00,22,0.0454545454545454,0,0.0021068717
12619,16,10,3781.38,378.138,2010-05-28 12:52:00,560,0.0178571428571428,0,0.106572196
12620,15,3,1339.41,446.47,2011-05-19 12:10:00,205,0.0146341463414634,0,0.33250836
12621,2,35,24311.2,694.6057142857143,2010-02-09 12:01:00,669,0.0523168908819133,0,0.08478947
12622,232,1,180.1,180.1,2011-04-21 16:39:00,232,0.0043103448275862,1,0.9986732
12623,276,7,3747.84,535.4057142857143,2010-01-12 11:45:00,697,0.0100430416068866,1,0.43403032
12624,106,2,641.13,320.565,2011-06-15 12:34:00,178,0.0112359550561797,1,0.5399631
12625,212,4,5164.88,1291.22,2010-04-22 11:33:00,597,0.0067001675041876,1,0.5860184
12626,23,9,6620.4800000000005,735.6088888888889,2011-01-17 11:01:00,327,0.0275229357798165,0,0.10524546
12627,11,7,4478.53,639.79,2011-07-22 13:59:00,140,0.05,0,0.051137257
12628,4,3,786.46,262.15333333333336,2011-10-06 09:28:00,65,0.0461538461538461,0,0.0015352374
12629,386,2,1558.22,779.11,2010-10-12 16:40:00,423,0.0047281323877068,1,0.5580537
